,0 uM,0 uM ,0 uM ,0.1 uM ,0.1 uM ,0.1 uM ,1 uM ,1 uM,1 uM ,10 uM,10 uM,10 uM ,100 uM ,100 uM ,100 uM ,500 uM ,500 uM ,500 uM 
403,5268.5,5530,5236.5,5492,5781,5387,5840,5417,5177,5806.5,5268.5,5984.5,6057.5,6255,6197,6533.5,6714.5,6025
404,5186.5,5190.5,5068,5283,5567.5,5081,5477.5,5246.5,4975.5,5661.5,5186.5,5600.5,5711.5,5836.5,6025,6412.5,6647,5915.5
405,5046.5,5148.5,4854.5,5012,5230,4968,5315.5,5078,4885,5472.5,5046.5,5501.5,5592,5700.5,5777,6086,6496,5639.5
406,4928,4885,4665.5,4883,5115,4736.5,5317.5,4802.5,4682,5282.5,4928,5272,5488.5,5601.5,5621.5,5967.5,6389.5,5528.5
407,4536.5,4838,4417.5,4790.5,5066,4428.5,5048,4678,4547.5,5067.5,4536.5,5062,5203,5395.5,5357,5798,6275,5260.5
408,4439,4730,4425.5,4456,4826.5,4406.5,4872.5,4603.5,4291,4871.5,4439,4787.5,4974,5143.5,5271,5518,6317.5,5126
409,4432.5,4513,4172.5,4192,4802.5,4255.5,4600,4400,4094.5,4757.5,4432.5,4779.5,4846,5028.5,4957.5,5300.5,6136.5,4939
410,4118.5,4392,4009.5,4269,4453.5,4157,4519,4206,4122.5,4495.5,4118.5,4634,4692,4777,4891,5089,5987.5,4882
411,4010.5,4148.5,3902,4035.5,4373.5,4011,4404.5,4028.5,3979.5,4379,4010.5,4451.5,4403,4525.5,4745,4994.5,5368,4614
412,3875.5,3990,3699,3897.5,4116,3791,4284.5,3747.5,3840.5,4078,3875.5,4315.5,4336,4568,4501,4859.5,5168.5,4363
413,3714.5,3944.5,3630.5,3692.5,4088,3653,4224.5,3659,3568,4084.5,3714.5,4115,4169.5,4323.5,4354.5,4510,5006,4207.5
414,3589,3678,3546.5,3599,3881,3551.5,3880.5,3564,3594,3774,3589,3972,4071,4195.5,4185,4432,4817,4240.5
415,3395.5,3643,3398.5,3409,3747,3355.5,3778.5,3531,3316.5,3747,3395.5,3739,3910,4013.5,4105.5,4320,4562.5,4035
416,3359.5,3477,3263.5,3335,3613.5,3311.5,3571.5,3312.5,3272,3523.5,3359.5,3749.5,3720,3911.5,3828.5,4236,4402,3881
417,3287.5,3421,3240,3148,3591.5,3215,3517.5,3320,3117,3529,3287.5,3503.5,3621.5,3672.5,3739.5,3878,4331,3652
418,3154.5,3312,3055,3084.5,3508.5,3088,3453,3158.5,3028,3422.5,3154.5,3336,3636.5,3739,3557.5,3882,4168,3553
419,2969,3163,2870,3006.5,3248,2879,3289.5,3029,3064.5,3258.5,2969,3261.5,3328.5,3516.5,3516.5,3731,4109.5,3350
