,0 uM,0 uM ,0 uM,0.1 uM,0.1 uM ,0.1 uM ,1 uM,1 uM ,1 uM ,10 uM,10 uM ,10 uM ,100 uM,100 uM ,100 uM ,500 uM ,500 uM ,500 uM 
417,3287.5,2964.5,3287.5,3502,3270.5,3591.5,3762.5,3193.5,3629,3510,3674.5,3642,3746.5,4026,3805.5,3779,4271.5,4637.5
418,3154.5,2849,3154.5,3319.5,3172,3508.5,3776,3225.5,3490.5,3346,3491,3348.5,3673,3826.5,3830,3784.5,4236,4524.5
419,2969,2775,2969,3212,3185.5,3248,3704.5,2981.5,3472.5,3391.5,3299.5,3226,3566,3623,3673,3604.5,3983.5,4327
420,2903.5,2606.5,2903.5,3168,3016.5,3160.5,3488,2979.5,3382.5,3206.5,3215,3204.5,3376,3459.5,3547.5,3515.5,3985,4115.5
421,2781.5,2462.5,2781.5,3062,2836.5,3011.5,3450.5,2883,3142.5,3069.5,3174,2976.5,3123,3401.5,3447,3392,3743.5,4047.5
422,2546.5,2349.5,2546.5,2881.5,2787,3003.5,3343,2647,3076,2974,3018.5,2935,3055.5,3357.5,3386.5,3208,3700.5,3928
423,2599.5,2406.5,2599.5,2757.5,2715,2918,3132.5,2685.5,3044,2792.5,2918.5,2916.5,2989.5,3154,3032,3245.5,3399.5,3625.5
424,2522,2228,2522,2788,2706,2755.5,3229,2528,2955,2696.5,2744.5,2783.5,2931,3137,3040.5,3065,3341,3456.5
425,2374.5,2203.5,2374.5,2572,2413.5,2650.5,2998.5,2467.5,2823.5,2751.5,2652.5,2652,2720,3019,2923.5,2900.5,3291,3470.5
426,2254.5,2045.5,2254.5,2552.5,2482,2437.5,2858.5,2305,2735,2561.5,2557.5,2543,2652,2874.5,2875.5,2842,3232,3359.5
427,2350.5,1942.5,2350.5,2525,2410,2488.5,2775,2200.5,2748.5,2413.5,2569,2432,2542.5,2628,2769.5,2661.5,3057,3139.5
428,2260.5,1873.5,2260.5,2391,2355.5,2454,2770,2215,2661,2419.5,2440.5,2377,2430.5,2721,2671.5,2538,3008.5,3273
429,2138,1832.5,2138,2241.5,2153.5,2329.5,2628,2005.5,2423.5,2339,2341.5,2272.5,2367.5,2590,2564.5,2401.5,2881.5,2990
430,2103,1752,2103,2243,2158,2367.5,2546.5,1975.5,2404,2309.5,2226.5,2237,2305,2543.5,2347,2369.5,2752.5,2842
431,1960,1581.5,1960,2190,2044.5,2158.5,2514.5,1906,2385,2104,2211,2239,2181.5,2368.5,2318.5,2332.5,2905.5,2666
432,1865.5,1555.5,1865.5,1989,2056.5,2139,2415.5,1842,2204,2088,2064.5,2082,2073,2274,2311,2229.5,2570.5,2751
433,1724,1525,1724,1942.5,1963.5,2060.5,2384.5,1825.5,2145.5,2014.5,2007.5,1991,1967,2306.5,2166.5,2224.5,2550,2628.5
434,1738.5,1441,1738.5,1901.5,1815.5,1950,2354,1776.5,2102.5,1920,1881,1899,2027,2223,1994.5,2125,2492.5,2642.5
435,1629,1362,1629,1814,1804,1956,2130.5,1625,2158.5,1949.5,1866,1909,1857,2131.5,2022,2022,2430.5,2368
436,1606,1295.5,1606,1721.5,1732.5,1942.5,2217,1632.5,1933.5,1682,1872,1779,1820.5,2015.5,1913,1881.5,2322.5,2449
437,1583.5,1273.5,1583.5,1631,1662.5,1719.5,2084,1461.5,1951.5,1700.5,1736.5,1798,1767,2002.5,1858,1796,2251.5,2347
438,1548.5,1194,1548.5,1669,1622.5,1763.5,2125.5,1535.5,1868,1682,1785.5,1772.5,1716.5,1838,1773,1809,2167,2272.5
439,1580,1115.5,1580,1514,1614.5,1695.5,1953,1391,1787,1617,1629.5,1614.5,1606.5,1870,1688,1761,2086,2156.5
440,1445,1013,1445,1467.5,1514.5,1616,1876,1397.5,1780,1496.5,1608.5,1587.5,1554.5,1759.5,1556,1709,2138,2146
441,1350.5,1033.5,1350.5,1452.5,1449.5,1607,1875.5,1267,1720.5,1536.5,1470.5,1493,1448,1669,1506.5,1552.5,1979,2035
442,1284,1025.5,1284,1439,1464,1563,1820,1276,1638,1437.5,1482,1486,1478.5,1715.5,1597.5,1571,1899,1998
443,1252,1015,1252,1276,1361,1437,1788.5,1162,1588,1424,1403.5,1533,1402,1558.5,1446,1478.5,1824,1778
444,1259.5,893,1259.5,1254,1339,1383.5,1640.5,1159,1530,1450,1373,1371.5,1385.5,1492.5,1428,1431.5,1756,1815.5
445,1162,887.5,1162,1280,1298.5,1365,1612.5,1082,1521.5,1317.5,1372,1312,1352,1465,1323.5,1339,1769.5,1648.5
446,1106.5,857.5,1106.5,1311.5,1199.5,1302.5,1645.5,1053.5,1477.5,1298.5,1227.5,1290,1191.5,1376.5,1248.5,1269,1661,1644
447,1099.5,785.5,1099.5,1222.5,1182.5,1274,1552.5,1084,1462,1262,1272.5,1244.5,1287,1367,1243.5,1253,1643.5,1623.5
448,1029.5,680,1029.5,1149.5,1156,1289,1514.5,990.5,1402,1179,1215.5,1162,1120.5,1240,1198,1201.5,1610,1650.5
449,1011,721,1011,1067,1146,1232,1541,906,1335.5,1109.5,1167.5,1134.5,1071.5,1274.5,1133.5,1148,1570,1545.5
450,1005.5,688.5,1005.5,1037,1055.5,1078.5,1393,937.5,1258.5,1063.5,1101,1085.5,1080,1230.5,1058,1029,1509,1488.5
451,927,545.5,927,1065.5,1046,1113.5,1372,922.5,1214,1097,1094.5,1127.5,1050,1156,1035.5,1068.5,1414,1419.5
452,871.5,570,871.5,1007,1029.5,1101.5,1407,862.5,1234,1016.5,1075,1015.5,1030,1092,950.5,970,1410,1346.5
453,869,599.5,869,1004,952.5,1043,1319.5,769,1120,954.5,981,983.5,875.5,1089,928.5,1009,1364,1342.5
454,896,410.5,896,862.5,955,937.5,1148,828,1062.5,950,955.5,969.5,962,1135,932.5,966.5,1322.5,1334.5
455,798.5,440,798.5,848,886.5,967.5,1279,744,1104.5,912,859.5,866.5,912.5,999.5,822.5,854.5,1251,1263
456,808.5,463,808.5,802.5,921.5,930.5,1181.5,674,1069.5,852.5,897.5,864.5,821.5,967.5,785.5,851.5,1194,1166.5
457,784,412,784,769,849,918.5,1172.5,676,1041,847.5,871,832.5,777.5,858,819,862.5,1185,1110
458,764.5,436.5,764.5,759,792,893.5,1100.5,661,1035.5,798,802,853.5,768.5,917.5,767.5,775.5,1241.5,1070
459,632.5,454.5,632.5,777,772.5,849,1067,693,916.5,863,812,814,742,849,675,746,1147,1086
